pair,year,a,b,c,d,label
SPIRIVA|SLEEP DISORDER DUE TO A GENERAL MEDICAL CONDITION,2025,10,1107,1507,1556505,1
SPIRIVA|SPIROMETRY ABNORMAL,2024,3,201,96,451938,1
SPIRIVA|SPIROMETRY ABNORMAL,2025,4,1113,519,1557493,1
SPIRIVA|THROMBOSIS,2024,3,201,240,451794,1
SPIRIVA|THROMBOSIS,2025,4,1113,2001,1556011,1
SPIRIVA|TOTAL LUNG CAPACITY ABNORMAL,2024,3,201,96,451938,1
SPIRIVA|TOTAL LUNG CAPACITY ABNORMAL,2025,4,1113,519,1557493,1
SPIRIVA|VASCULITIS,2024,3,201,160,451874,1
SPIRIVA|VASCULITIS,2025,4,1113,649,1557363,1
SPIRIVA RESPIMAT|PNEUMONIA,2024,3,73,3023,449139,0
SPIRIVA RESPIMAT|PNEUMONIA,2025,3,188,9872,1549066,0
SPIRONOLACTONE|COUGH,2024,4,277,1533,450424,1
SPIRONOLACTONE|COUGH,2025,24,1886,5644,1551575,1
SPIRONOLACTONE|DEATH,2024,5,276,194,451763,1
SPIRONOLACTONE|DEATH,2025,15,1895,4868,1552351,1
SPIRONOLACTONE|DEVICE DEFECTIVE,2024,5,276,123,451834,0
SPIRONOLACTONE|DEVICE DEFECTIVE,2025,0,1910,120,1557099,0
SPIRONOLACTONE|DYSPNOEA,2024,6,275,2664,449293,0
SPIRONOLACTONE|DYSPNOEA,2025,22,1888,12932,1544287,0
SPIRONOLACTONE|FONTAN PROCEDURE,2024,4,277,60,451897,0
SPIRONOLACTONE|FONTAN PROCEDURE,2025,0,1910,0,1557219,0
SPIRONOLACTONE|HOSPITALISATION,2024,7,274,345,451612,0
SPIRONOLACTONE|HOSPITALISATION,2025,4,1906,2972,1554247,0
SPIRONOLACTONE|ILLNESS,2024,3,278,741,451216,1
SPIRONOLACTONE|ILLNESS,2025,7,1903,1899,1555320,1
SPIRONOLACTONE|OFF LABEL USE,2024,10,271,6557,445400,0
SPIRONOLACTONE|OFF LABEL USE,2025,26,1884,27918,1529301,0
SPIRONOLACTONE|PRODUCT DOSE OMISSION ISSUE,2024,4,277,1200,450757,0
SPIRONOLACTONE|PRODUCT DOSE OMISSION ISSUE,2025,10,1900,5016,1552203,0
SPIRONOLACTONE|STRESS FRACTURE,2024,5,276,135,451822,0
SPIRONOLACTONE|STRESS FRACTURE,2025,0,1910,14,1557205,0
SPIRONOLACTONE|URINARY TRACT INFECTION,2024,3,278,838,451119,1
SPIRONOLACTONE|URINARY TRACT INFECTION,2025,8,1902,2435,1554784,1
STELARA|BURNING SENSATION,2024,356,5681,1451,444750,0
STELARA|BURNING SENSATION,2025,0,4135,395,1554599,0
STELARA|CHEST PAIN,2024,308,5729,2423,443778,0
STELARA|CHEST PAIN,2025,10,4125,5683,1549311,0
STELARA|DRUG INEFFECTIVE,2024,320,5717,4514,441687,0
STELARA|DRUG INEFFECTIVE,2025,54,4081,17813,1537181,0
STELARA|HERPES SIMPLEX,2024,3,6034,61,446140,0
STELARA|HERPES SIMPLEX,2025,0,4135,99,1554895,0
STELARA|HERPES VIRUS INFECTION,2024,3,6034,61,446140,0
STELARA|HERPES VIRUS INFECTION,2025,0,4135,52,1554942,0
STELARA|HYPERTENSION,2024,570,5467,4346,441855,0
STELARA|HYPERTENSION,2025,22,4113,8676,1546318,0
STELARA|INAPPROPRIATE SCHEDULE OF PRODUCT ADMINISTRATION,2024,58,5979,1652,444549,0
STELARA|INAPPROPRIATE SCHEDULE OF PRODUCT ADMINISTRATION,2025,4,4131,4470,1550524,0
STELARA|OFF LABEL USE,2024,216,5821,6351,439850,0
STELARA|OFF LABEL USE,2025,56,4079,27888,1527106,0
STELARA|PRURITUS,2024,313,5724,3874,442327,0
STELARA|PRURITUS,2025,41,4094,8574,1546420,0
STELARA|PRURITUS GENITAL,2024,256,5781,837,445364,0
STELARA|PRURITUS GENITAL,2025,0,4135,44,1554950,0
STELARA|PUNCTURE SITE ERYTHEMA,2024,3,6034,61,446140,0
STELARA|PUNCTURE SITE ERYTHEMA,2025,0,4135,0,1554994,0
STELARA|RASH,2024,313,5724,3877,442324,0
STELARA|RASH,2025,32,4103,10249,1544745,0
STELARA|RASH PRURITIC,2024,306,5731,1139,445062,1
STELARA|RASH PRURITIC,2025,20,4115,2228,1552766,1
STELARA|SEBORRHOEIC DERMATITIS,2024,3,6034,61,446140,0
STELARA|SEBORRHOEIC DERMATITIS,2025,0,4135,8,1554986,0
STELARA|SKIN HYPERPIGMENTATION,2024,299,5738,970,445231,0
STELARA|SKIN HYPERPIGMENTATION,2025,0,4135,62,1554932,0
STELARA|SKIN PAPILLOMA,2024,3,6034,69,446132,0
STELARA|SKIN PAPILLOMA,2025,0,4135,50,1554944,0
STELARA|STOMA SITE COMPLICATION,2024,3,6034,61,446140,0
STELARA|STOMA SITE COMPLICATION,2025,0,4135,0,1554994,0
STELARA|STOMA SITE HAEMORRHAGE,2024,3,6034,61,446140,0
STELARA|STOMA SITE HAEMORRHAGE,2025,0,4135,39,1554955,0
STELARA|THERAPEUTIC PRODUCT EFFECT INCOMPLETE,2024,559,5478,3098,443103,0
STELARA|THERAPEUTIC PRODUCT EFFECT INCOMPLETE,2025,7,4128,3440,1551554,0
STELARA|WHEEZING,2024,372,5665,4244,441957,0
STELARA|WHEEZING,2025,13,4122,7054,1547940,0
STERILE WATER|WEIGHT DECREASED,2024,3,42,2386,449807,1
STERILE WATER|WEIGHT DECREASED,2025,6,54,4875,1554194,1
STRIBILD|ACUTE KIDNEY INJURY,2024,3,16,222,451997,0
STRIBILD|ACUTE KIDNEY INJURY,2025,0,35,2969,1556125,0
STRIBILD|CHRONIC KIDNEY DISEASE,2024,3,16,103,452116,0
STRIBILD|CHRONIC KIDNEY DISEASE,2025,0,35,697,1558397,0
STRIBILD|RENAL FAILURE,2024,3,16,419,451800,0
STRIBILD|RENAL FAILURE,2025,2,33,747,1558347,0
SUBOXONE|CRANIOFACIAL FRACTURE,2024,4,23,24,452187,0
SUBOXONE|CRANIOFACIAL FRACTURE,2025,0,1099,34,1557996,0
SUBOXONE|DENTAL CARIES,2024,4,23,22,452189,1
SUBOXONE|DENTAL CARIES,2025,99,1000,234,1557796,1
SUBOXONE|DRUG ABUSE,2024,4,23,63,452148,1
SUBOXONE|DRUG ABUSE,2025,10,1089,1051,1556979,1
SUBOXONE|FALL,2024,4,23,966,451245,0
SUBOXONE|FALL,2025,0,1099,5148,1552882,0
SUBOXONE|INAPPROPRIATE SCHEDULE OF PRODUCT ADMINISTRATION,2024,4,23,1706,450505,1
SUBOXONE|INAPPROPRIATE SCHEDULE OF PRODUCT ADMINISTRATION,2025,83,1016,4391,1553639,1
SUBOXONE|TOOTH EROSION,2024,4,23,8,452203,1
SUBOXONE|TOOTH EROSION,2025,96,1003,178,1557852,1
SUCRALFATE|CONSTIPATION,2024,3,103,750,451382,1
SUCRALFATE|CONSTIPATION,2025,4,320,4936,1553869,1
SUCRALFATE|NAUSEA,2024,3,103,3684,448448,1
SUCRALFATE|NAUSEA,2025,9,315,15014,1543791,1
SULFAMETHOXAZOLE|DELAYED GRAFT FUNCTION,2024,4,803,29,451402,0
SULFAMETHOXAZOLE|DELAYED GRAFT FUNCTION,2025,0,1744,6,1557379,0
SULFAMETHOXAZOLE|HYPERTRIGLYCERIDAEMIA,2024,4,803,29,451402,0
SULFAMETHOXAZOLE|HYPERTRIGLYCERIDAEMIA,2025,0,1744,10,1557375,0
SULFAMETHOXAZOLE|PANCREATITIS ACUTE,2024,4,803,34,451397,0
SULFAMETHOXAZOLE|PANCREATITIS ACUTE,2025,0,1744,318,1557067,0
SULFAMETHOXAZOLE|SPHINCTER OF ODDI DYSFUNCTION,2024,4,803,29,451402,0
SULFAMETHOXAZOLE|SPHINCTER OF ODDI DYSFUNCTION,2025,0,1744,0,1557385,0
SULFAMETHOXAZOLE AND TRIMETHOPRIM|INFUSION RELATED REACTION,2024,4,192,2333,449709,0
SULFAMETHOXAZOLE AND TRIMETHOPRIM|INFUSION RELATED REACTION,2025,4,462,7518,1551145,0
SULFAMETHOXAZOLE AND TRIMETHOPRIM|LIVER DISORDER,2024,3,193,1835,450207,0
SULFAMETHOXAZOLE AND TRIMETHOPRIM|LIVER DISORDER,2025,2,464,3868,1554795,0
SULFAMETHOXAZOLE AND TRIMETHOPRIM|MALAISE,2024,4,192,3215,448827,0
SULFAMETHOXAZOLE AND TRIMETHOPRIM|MALAISE,2025,5,461,9480,1549183,0
SULFAMETHOXAZOLE AND TRIMETHOPRIM|PRODUCT USE IN UNAPPROVED INDICATION,2024,3,193,2282,449760,0
SULFAMETHOXAZOLE AND TRIMETHOPRIM|PRODUCT USE IN UNAPPROVED INDICATION,2025,0,466,9464,1549199,0
SULFAMETHOXAZOLE AND TRIMETHOPRIM|PYREXIA,2024,4,192,3173,448869,0
SULFAMETHOXAZOLE AND TRIMETHOPRIM|PYREXIA,2025,5,461,9288,1549375,0
SULFAMETHOXAZOLE\TRIMETHOPRIM|BLISTER,2024,5,527,1653,450053,0
SULFAMETHOXAZOLE\TRIMETHOPRIM|BLISTER,2025,11,3277,5347,1550494,0
SULFAMETHOXAZOLE\TRIMETHOPRIM|CYTOKINE RELEASE SYNDROME,2024,4,528,62,451644,1
SULFAMETHOXAZOLE\TRIMETHOPRIM|CYTOKINE RELEASE SYNDROME,2025,6,3282,564,1555277,1
SULFAMETHOXAZOLE\TRIMETHOPRIM|FEELING HOT,2024,4,528,368,451338,0
SULFAMETHOXAZOLE\TRIMETHOPRIM|FEELING HOT,2025,4,3284,2695,1553146,0
SULFAMETHOXAZOLE\TRIMETHOPRIM|PULMONARY NOCARDIOSIS,2024,3,529,5,451701,0
SULFAMETHOXAZOLE\TRIMETHOPRIM|PULMONARY NOCARDIOSIS,2025,0,3288,4,1555837,0
SULFAMETHOXAZOLE\TRIMETHOPRIM|SWELLING,2024,6,526,2026,449680,0
SULFAMETHOXAZOLE\TRIMETHOPRIM|SWELLING,2025,11,3277,6505,1549336,0
SULFAMETHOXAZOLE\TRIMETHOPRIM|URINARY TRACT INFECTION,2024,3,529,838,450868,0
SULFAMETHOXAZOLE\TRIMETHOPRIM|URINARY TRACT INFECTION,2025,1,3287,2442,1553399,0
SULFASALAZINE|BACK INJURY,2024,86,14774,1259,436119,1
SULFASALAZINE|BACK INJURY,2025,124,30910,2553,1525542,1
SULFASALAZINE|C-REACTIVE PROTEIN,2024,83,14777,1114,436264,1
SULFASALAZINE|C-REACTIVE PROTEIN,2025,25,31009,532,1527563,1
SULFASALAZINE|JOINT DISLOCATION,2024,44,14816,642,436736,1
SULFASALAZINE|JOINT DISLOCATION,2025,91,30943,1905,1526190,1
SULFASALAZINE|PRODUCT LABEL CONFUSION,2024,44,14816,630,436748,0
SULFASALAZINE|PRODUCT LABEL CONFUSION,2025,12,31022,1083,1527012,0
SULFASALAZINE|SERONEGATIVE ARTHRITIS,2024,44,14816,630,436748,1
SULFASALAZINE|SERONEGATIVE ARTHRITIS,2025,65,30969,1009,1527086,1
SULFASALAZINE|SPINAL FUSION SURGERY,2024,44,14816,630,436748,0
SULFASALAZINE|SPINAL FUSION SURGERY,2025,0,31034,37,1528058,0
SULFASALAZINE|SPONDYLITIS,2024,44,14816,634,436744,0
SULFASALAZINE|SPONDYLITIS,2025,0,31034,53,1528042,0
SUMATRIPTAN SUCCINATE|ANXIETY,2024,3,73,1748,450414,0
SUMATRIPTAN SUCCINATE|ANXIETY,2025,0,147,6069,1552913,0
SUMATRIPTAN SUCCINATE|NAUSEA,2024,3,73,3684,448478,0
SUMATRIPTAN SUCCINATE|NAUSEA,2025,1,146,15022,1543960,0
SUSTIVA|DEPRESSION,2024,8,56,1695,450479,0
SUSTIVA|DEPRESSION,2025,0,0,5116,1554013,0
SUSTIVA|DRUG INTERACTION,2024,8,56,92,452082,0
SUSTIVA|DRUG INTERACTION,2025,0,0,2511,1556618,0
SUSTIVA|INCORRECT ROUTE OF PRODUCT ADMINISTRATION,2024,8,56,1104,451070,0
SUSTIVA|INCORRECT ROUTE OF PRODUCT ADMINISTRATION,2025,0,0,2030,1557099,0
SUSTIVA|INTENTIONAL PRODUCT USE ISSUE,2024,8,56,3083,449091,0
SUSTIVA|INTENTIONAL PRODUCT USE ISSUE,2025,0,0,8072,1551057,0
SUSTIVA|LOSS OF PERSONAL INDEPENDENCE IN DAILY ACTIVITIES,2024,8,56,979,451195,0
SUSTIVA|LOSS OF PERSONAL INDEPENDENCE IN DAILY ACTIVITIES,2025,0,0,1804,1557325,0
SUSTIVA|OFF LABEL USE,2024,8,56,6559,445615,0
SUSTIVA|OFF LABEL USE,2025,0,0,27944,1531185,0
SUSTIVA|PRESCRIBED OVERDOSE,2024,8,56,1632,450542,0
SUSTIVA|PRESCRIBED OVERDOSE,2025,0,0,6018,1553111,0
SUSTIVA|PRODUCT USE IN UNAPPROVED INDICATION,2024,8,56,2277,449897,0
SUSTIVA|PRODUCT USE IN UNAPPROVED INDICATION,2025,0,0,9464,1549665,0
SYMBICORT|ABDOMINAL PAIN,2024,3,228,865,451142,0
SYMBICORT|ABDOMINAL PAIN,2025,1,732,5635,1552761,0
SYMBICORT|ASTHENIA,2024,3,228,1857,450150,0
SYMBICORT|ASTHENIA,2025,2,731,9076,1549320,0
SYMBICORT|DIARRHOEA,2024,5,226,3040,448967,0
SYMBICORT|DIARRHOEA,2025,1,732,13297,1545099,0
SYMBICORT|FAECES HARD,2024,3,228,175,451832,0
SYMBICORT|FAECES HARD,2025,0,733,46,1558350,0
SYMBICORT|HEART RATE INCREASED,2024,3,228,172,451835,0
SYMBICORT|HEART RATE INCREASED,2025,2,731,1052,1557344,0
SYMBICORT|ILLNESS,2024,4,227,740,451267,0
SYMBICORT|ILLNESS,2025,2,731,1904,1556492,0
SYMBICORT|INAPPROPRIATE SCHEDULE OF PRODUCT ADMINISTRATION,2024,3,228,1707,450300,0
SYMBICORT|INAPPROPRIATE SCHEDULE OF PRODUCT ADMINISTRATION,2025,3,730,4471,1553925,0
SYMBICORT|INFLUENZA,2024,3,228,553,451454,0
SYMBICORT|INFLUENZA,2025,1,732,1987,1556409,0
SYMBICORT|PRODUCT DOSE OMISSION ISSUE,2024,4,227,1200,450807,1
SYMBICORT|PRODUCT DOSE OMISSION ISSUE,2025,6,727,5020,1553376,1
SYMBICORT|URINARY TRACT INFECTION,2024,5,226,836,451171,0
SYMBICORT|URINARY TRACT INFECTION,2025,2,731,2441,1555955,0
SYNTHROID|ILLNESS,2024,4,126,740,451368,1
SYNTHROID|ILLNESS,2025,5,1417,1901,1555806,1
SYNTHROID|MALAISE,2024,4,126,3215,448893,0
SYNTHROID|MALAISE,2025,8,1414,9477,1548230,0
SYNTHROID|PRODUCT DOSE OMISSION ISSUE,2024,3,127,1201,450907,0
SYNTHROID|PRODUCT DOSE OMISSION ISSUE,2025,9,1413,5017,1552690,0
SYNTHROID|URINARY TRACT INFECTION,2024,3,127,838,451270,1
SYNTHROID|URINARY TRACT INFECTION,2025,11,1411,2432,1555275,1
TACROLIMUS|ABDOMINAL PAIN,2024,11,472,857,450898,0
TACROLIMUS|ABDOMINAL PAIN,2025,4,1222,5632,1552271,0
TACROLIMUS|ACUTE GRAFT VERSUS HOST DISEASE IN INTESTINE,2024,3,480,65,451690,1
TACROLIMUS|ACUTE GRAFT VERSUS HOST DISEASE IN INTESTINE,2025,3,1223,41,1557862,1
TACROLIMUS|ACUTE KIDNEY INJURY,2024,6,477,219,451536,1
TACROLIMUS|ACUTE KIDNEY INJURY,2025,18,1208,2951,1554952,1
TACROLIMUS|ADENOVIRUS REACTIVATION,2024,7,476,74,451681,0
TACROLIMUS|ADENOVIRUS REACTIVATION,2025,0,1226,0,1557903,0
TACROLIMUS|ANAEMIA,2024,5,478,913,450842,1
TACROLIMUS|ANAEMIA,2025,8,1218,3202,1554701,1
TACROLIMUS|BK POLYOMAVIRUS TEST POSITIVE,2024,7,476,74,451681,0
TACROLIMUS|BK POLYOMAVIRUS TEST POSITIVE,2025,0,1226,0,1557903,0
TACROLIMUS|BK VIRUS INFECTION,2024,11,472,100,451655,1
TACROLIMUS|BK VIRUS INFECTION,2025,10,1216,102,1557801,1
TACROLIMUS|BONE MARROW FAILURE,2024,3,480,17,451738,0
TACROLIMUS|BONE MARROW FAILURE,2025,0,1226,151,1557752,0
TACROLIMUS|BRAIN ABSCESS,2024,7,476,74,451681,0
TACROLIMUS|BRAIN ABSCESS,2025,0,1226,6,1557897,0
TACROLIMUS|CEREBRAL TOXOPLASMOSIS,2024,7,476,86,451669,0
TACROLIMUS|CEREBRAL TOXOPLASMOSIS,2025,0,1226,0,1557903,0
TACROLIMUS|CEREBROVASCULAR ACCIDENT,2024,3,480,192,451563,0
TACROLIMUS|CEREBROVASCULAR ACCIDENT,2025,0,1226,1072,1556831,0
TACROLIMUS|CHRONIC GRAFT VERSUS HOST DISEASE,2024,3,480,53,451702,1
TACROLIMUS|CHRONIC GRAFT VERSUS HOST DISEASE,2025,4,1222,82,1557821,1
TACROLIMUS|CYSTITIS HAEMORRHAGIC,2024,8,475,123,451632,0
TACROLIMUS|CYSTITIS HAEMORRHAGIC,2025,0,1226,20,1557883,0
TACROLIMUS|CYTOMEGALOVIRUS COLITIS,2024,3,480,22,451733,0
TACROLIMUS|CYTOMEGALOVIRUS COLITIS,2025,0,1226,19,1557884,0
TACROLIMUS|CYTOMEGALOVIRUS INFECTION,2024,5,478,26,451729,1
TACROLIMUS|CYTOMEGALOVIRUS INFECTION,2025,19,1207,396,1557507,1
TACROLIMUS|CYTOMEGALOVIRUS INFECTION REACTIVATION,2024,7,476,125,451630,1
TACROLIMUS|CYTOMEGALOVIRUS INFECTION REACTIVATION,2025,3,1223,127,1557776,1
TACROLIMUS|DELAYED GRAFT FUNCTION,2024,9,474,24,451731,0
TACROLIMUS|DELAYED GRAFT FUNCTION,2025,1,1225,5,1557898,0
TACROLIMUS|DIARRHOEA,2024,9,474,3036,448719,0
TACROLIMUS|DIARRHOEA,2025,8,1218,13290,1544613,0
TACROLIMUS|DRUG INTERACTION,2024,5,478,95,451660,1
TACROLIMUS|DRUG INTERACTION,2025,13,1213,2498,1555405,1
TACROLIMUS|ECZEMA,2024,3,480,522,451233,1
TACROLIMUS|ECZEMA,2025,4,1222,1530,1556373,1
TACROLIMUS|ENDOCARDITIS,2024,3,480,11,451744,0
TACROLIMUS|ENDOCARDITIS,2025,1,1225,46,1557857,0
TACROLIMUS|EPSTEIN-BARR VIRUS INFECTION REACTIVATION,2024,7,476,74,451681,1
TACROLIMUS|EPSTEIN-BARR VIRUS INFECTION REACTIVATION,2025,3,1223,36,1557867,1
TACROLIMUS|FEBRILE NEUTROPENIA,2024,7,476,126,451629,0
TACROLIMUS|FEBRILE NEUTROPENIA,2025,1,1225,1481,1556422,0
TACROLIMUS|GASTROINTESTINAL VIRAL INFECTION,2024,7,476,74,451681,0
TACROLIMUS|GASTROINTESTINAL VIRAL INFECTION,2025,0,1226,15,1557888,0
TACROLIMUS|GRAFT COMPLICATION,2024,3,480,51,451704,0
TACROLIMUS|GRAFT COMPLICATION,2025,0,1226,0,1557903,0
TACROLIMUS|GRAFT VERSUS HOST DISEASE,2024,3,480,87,451668,1
TACROLIMUS|GRAFT VERSUS HOST DISEASE,2025,3,1223,54,1557849,1
TACROLIMUS|HERPES SIMPLEX REACTIVATION,2024,7,476,74,451681,0
TACROLIMUS|HERPES SIMPLEX REACTIVATION,2025,0,1226,0,1557903,0
TACROLIMUS|HERPES SIMPLEX TEST POSITIVE,2024,8,475,80,451675,0
TACROLIMUS|HERPES SIMPLEX TEST POSITIVE,2025,0,1226,0,1557903,0
TACROLIMUS|HYPERKALAEMIA,2024,5,478,43,451712,0
TACROLIMUS|HYPERKALAEMIA,2025,0,1226,519,1557384,0
TACROLIMUS|HYPERTRIGLYCERIDAEMIA,2024,9,474,24,451731,0
TACROLIMUS|HYPERTRIGLYCERIDAEMIA,2025,0,1226,10,1557893,0
TACROLIMUS|INFECTION REACTIVATION,2024,7,476,74,451681,0
TACROLIMUS|INFECTION REACTIVATION,2025,0,1226,0,1557903,0
TACROLIMUS|LIVER TRANSPLANT REJECTION,2024,3,480,17,451738,0
TACROLIMUS|LIVER TRANSPLANT REJECTION,2025,2,1224,10,1557893,0
TACROLIMUS|MYELOSUPPRESSION,2024,10,473,36,451719,0
TACROLIMUS|MYELOSUPPRESSION,2025,0,1226,1174,1556729,0
TACROLIMUS|NAUSEA,2024,10,473,3677,448078,0
TACROLIMUS|NAUSEA,2025,7,1219,15016,1542887,0
TACROLIMUS|NEUROLOGICAL SYMPTOM,2024,7,476,85,451670,0
TACROLIMUS|NEUROLOGICAL SYMPTOM,2025,0,1226,607,1557296,0
TACROLIMUS|NEUTROPENIA,2024,5,478,1452,450303,0
TACROLIMUS|NEUTROPENIA,2025,3,1223,2593,1555310,0
TACROLIMUS|NORMOCHROMIC NORMOCYTIC ANAEMIA,2024,3,480,116,451639,0
TACROLIMUS|NORMOCHROMIC NORMOCYTIC ANAEMIA,2025,0,1226,528,1557375,0
TACROLIMUS|OFF LABEL USE,2024,29,454,6538,445217,1
TACROLIMUS|OFF LABEL USE,2025,75,1151,27869,1530034,1
TACROLIMUS|ORAL HERPES,2024,7,476,224,451531,1
TACROLIMUS|ORAL HERPES,2025,5,1221,263,1557640,1
TACROLIMUS|PANCREATITIS ACUTE,2024,9,474,29,451726,0
TACROLIMUS|PANCREATITIS ACUTE,2025,0,1226,318,1557585,0
TACROLIMUS|POLYOMAVIRUS VIRAEMIA,2024,5,478,21,451734,0
TACROLIMUS|POLYOMAVIRUS VIRAEMIA,2025,2,1224,22,1557881,0
TACROLIMUS|POLYOMAVIRUS-ASSOCIATED NEPHROPATHY,2024,8,475,41,451714,1
TACROLIMUS|POLYOMAVIRUS-ASSOCIATED NEPHROPATHY,2025,7,1219,44,1557859,1
TACROLIMUS|PRODUCT USE IN UNAPPROVED INDICATION,2024,10,473,2275,449480,1
TACROLIMUS|PRODUCT USE IN UNAPPROVED INDICATION,2025,20,1206,9444,1548459,1
TACROLIMUS|PYREXIA,2024,10,473,3167,448588,0
TACROLIMUS|PYREXIA,2025,2,1224,9291,1548612,0
TACROLIMUS|SEIZURE,2024,7,476,327,451428,0
TACROLIMUS|SEIZURE,2025,3,1223,1282,1556621,0
TACROLIMUS|SEPTIC SHOCK,2024,5,478,274,451481,1
TACROLIMUS|SEPTIC SHOCK,2025,9,1217,735,1557168,1
TACROLIMUS|SPHINCTER OF ODDI DYSFUNCTION,2024,9,474,24,451731,0
TACROLIMUS|SPHINCTER OF ODDI DYSFUNCTION,2025,0,1226,0,1557903,0
TACROLIMUS|STAPHYLOCOCCAL BACTERAEMIA,2024,7,476,123,451632,1
TACROLIMUS|STAPHYLOCOCCAL BACTERAEMIA,2025,3,1223,193,1557710,1
TACROLIMUS|TOXIC EPIDERMAL NECROLYSIS,2024,4,479,62,451693,0
TACROLIMUS|TOXIC EPIDERMAL NECROLYSIS,2025,0,1226,226,1557677,0
TACROLIMUS|TREMOR,2024,5,478,245,451510,0
TACROLIMUS|TREMOR,2025,1,1225,2073,1555830,0
TACROLIMUS|VENOOCCLUSIVE LIVER DISEASE,2024,3,480,51,451704,0
TACROLIMUS|VENOOCCLUSIVE LIVER DISEASE,2025,1,1225,186,1557717,0
TACROLIMUS|VIRAL HAEMORRHAGIC CYSTITIS,2024,7,476,89,451666,0
TACROLIMUS|VIRAL HAEMORRHAGIC CYSTITIS,2025,1,1225,25,1557878,0
TADALAFIL|COUGH,2024,4,109,1533,450592,1
TADALAFIL|COUGH,2025,12,894,5656,1552567,1
TADALAFIL|DYSPNOEA,2024,4,109,2666,449459,1
TADALAFIL|DYSPNOEA,2025,25,881,12929,1545294,1
TADALAFIL|HYPOTENSION,2024,3,110,392,451733,1
TADALAFIL|HYPOTENSION,2025,6,900,3332,1554891,1
TADALAFIL|NAUSEA,2024,3,110,3684,448441,0
TADALAFIL|NAUSEA,2025,16,890,15007,1543216,0
TAKHZYRO|ABSCESS LIMB,2024,4,239,21,451974,0
TAKHZYRO|ABSCESS LIMB,2025,0,84,8,1559037,0
TAKHZYRO|ANXIETY,2024,5,238,1746,450249,1
TAKHZYRO|ANXIETY,2025,3,81,6066,1552979,1
TAKHZYRO|BACK PAIN,2024,3,240,890,451105,0
TAKHZYRO|BACK PAIN,2025,0,84,3415,1555630,0
TAKHZYRO|BLOOD IRON DECREASED,2024,3,240,232,451763,0
TAKHZYRO|BLOOD IRON DECREASED,2025,0,84,396,1558649,0
TAKHZYRO|BLOOD PRESSURE ABNORMAL,2024,4,239,127,451868,0
TAKHZYRO|BLOOD PRESSURE ABNORMAL,2025,0,84,436,1558609,0
TAKHZYRO|BODY HEIGHT INCREASED,2024,4,239,5,451990,0
TAKHZYRO|BODY HEIGHT INCREASED,2025,0,84,8,1559037,0
TAKHZYRO|CATARACT,2024,5,238,203,451792,0
TAKHZYRO|CATARACT,2025,0,84,1168,1557877,0
TAKHZYRO|CHEST DISCOMFORT,2024,4,239,341,451654,0
TAKHZYRO|CHEST DISCOMFORT,2025,0,84,1713,1557332,0
TAKHZYRO|CHEST INJURY,2024,3,240,18,451977,0
TAKHZYRO|CHEST INJURY,2025,0,84,28,1559017,0
TAKHZYRO|DEPRESSION,2024,4,239,1699,450296,1
TAKHZYRO|DEPRESSION,2025,3,81,5113,1553932,1
TAKHZYRO|FAMILY STRESS,2024,3,240,17,451978,0
TAKHZYRO|FAMILY STRESS,2025,0,84,3,1559042,0
TAKHZYRO|FEELING ABNORMAL,2024,3,240,335,451660,0
TAKHZYRO|FEELING ABNORMAL,2025,0,84,1643,1557402,0
TAKHZYRO|FOOD POISONING,2024,3,240,51,451944,0
TAKHZYRO|FOOD POISONING,2025,0,84,14,1559031,0
TAKHZYRO|GASTROINTESTINAL DISORDER,2024,3,240,1618,450377,0
TAKHZYRO|GASTROINTESTINAL DISORDER,2025,0,84,6315,1552730,0
TAKHZYRO|HEADACHE,2024,7,236,3546,448449,1
TAKHZYRO|HEADACHE,2025,3,81,13552,1545493,1
TAKHZYRO|HEREDITARY ANGIOEDEMA,2024,36,207,475,451520,1
TAKHZYRO|HEREDITARY ANGIOEDEMA,2025,15,69,380,1558665,1
TAKHZYRO|ILLNESS,2024,3,240,741,451254,0
TAKHZYRO|ILLNESS,2025,0,84,1906,1557139,0
TAKHZYRO|INAPPROPRIATE SCHEDULE OF PRODUCT ADMINISTRATION,2024,6,237,1704,450291,1
TAKHZYRO|INAPPROPRIATE SCHEDULE OF PRODUCT ADMINISTRATION,2025,3,81,4471,1554574,1
TAKHZYRO|INJECTION SITE BRUISING,2024,3,240,106,451889,0
TAKHZYRO|INJECTION SITE BRUISING,2025,0,84,567,1558478,0
TAKHZYRO|INJECTION SITE PAIN,2024,3,240,419,451576,0
TAKHZYRO|INJECTION SITE PAIN,2025,0,84,1920,1557125,0
TAKHZYRO|INJECTION SITE RASH,2024,3,240,50,451945,0
TAKHZYRO|INJECTION SITE RASH,2025,0,84,231,1558814,0
TAKHZYRO|INJECTION SITE SWELLING,2024,3,240,70,451925,0
TAKHZYRO|INJECTION SITE SWELLING,2025,0,84,415,1558630,0
TAKHZYRO|INSOMNIA,2024,4,239,2356,449639,0
TAKHZYRO|INSOMNIA,2025,0,84,4180,1554865,0
TAKHZYRO|INSURANCE ISSUE,2024,4,239,159,451836,1
TAKHZYRO|INSURANCE ISSUE,2025,4,80,371,1558674,1
TAKHZYRO|MULTIPLE ALLERGIES,2024,3,240,56,451939,0
TAKHZYRO|MULTIPLE ALLERGIES,2025,0,84,141,1558904,0
TAKHZYRO|MUSCLE SPASMS,2024,3,240,1800,450195,0
